Algoritmo,Resultado_Esperado,Resultado_Obtido,Diferenca_Absoluta,Diferenca_Percentual,Tempo_Execucao_us
Dijkstra Clássico,17.0,17.0,0.0,0.000000%,0
Dijkstra Bidirecional,17.0,17.0,0.0,0.000000%,1
Dial Dijkstra,17.0,17.0,0.0,0.000000%,0
BiDial Dijkstra,17.0,17.0,0.0,0.000000%,0
Programação Linear,17.0,17.0,0.0,0.000000%,818
