Algoritmo,Resultado_Esperado,Resultado_Obtido,Diferenca_Absoluta,Diferenca_Percentual,Tempo_Execucao_us
Dijkstra Clássico,44.0,44.0,0.0,0.000000%,0
Dijkstra Bidirecional,44.0,44.0,0.0,0.000000%,1
Dial Dijkstra,44.0,44.0,0.0,0.000000%,0
BiDial Dijkstra,44.0,44.0,0.0,0.000000%,656
Programação Linear,44.0,44.0,0.0,0.000000%,11604
