Algoritmo,Resultado_Esperado,Resultado_Obtido,Diferenca_Absoluta,Diferenca_Percentual,Tempo_Execucao_us
Dijkstra Clássico,21.883,21.883,0.0,0.000000%,0
Dijkstra Bidirecional,21.883,21.883,0.0,0.000000%,1
Dial Dijkstra,21.883,21.0,0.8829999999999991,4.035096%,0
BiDial Dijkstra,21.883,21.0,0.8829999999999991,4.035096%,0
Programação Linear,21.883,21.883,0.0,0.000000%,1071
